time,Real Lower Band,Real Middle Band,Real Upper Band
2017-06-16,3327.6582,3537.1027,3746.5471
2017-06-15,3323.3388,3535.5115,3747.6842
2017-06-14,3318.7882,3534.0865,3749.3848
2017-06-13,3311.3006,3531.7893,3752.2780
2017-06-12,3303.1445,3529.1488,3755.1531
2017-06-09,3296.9175,3527.0078,3757.0982
2017-06-08,3291.3997,3524.1778,3756.9560
2017-06-07,3285.2870,3521.6113,3757.9357
2017-06-06,3277.5288,3518.9577,3760.3865
2017-06-02,3269.7314,3516.1400,3762.5486
2017-06-01,3263.2596,3512.7340,3762.2084
2017-05-31,3257.9713,3510.0068,3762.0423
2017-05-30,3251.2331,3507.1755,3763.1179
2017-05-29,3245.3894,3504.3252,3763.2610
2017-05-26,3233.2404,3500.0028,3766.7653
2017-05-24,3220.7368,3495.5075,3770.2782
2017-05-23,3208.7522,3490.7987,3772.8452
2017-05-22,3201.0706,3486.4475,3771.8244
2017-05-19,3193.8217,3482.4932,3771.1646
2017-05-18,3187.4810,3478.3652,3769.2494
2017-05-17,3178.3382,3474.2013,3770.0645
2017-05-16,3170.2486,3469.6010,3768.9534
2017-05-15,3166.3337,3464.0868,3761.8400
2017-05-12,3164.4744,3458.7840,3753.0936
2017-05-11,3161.8855,3453.3068,3744.7282
2017-05-10,3158.8395,3448.0015,3737.1635
2017-05-09,3155.2104,3441.7530,3728.2956
2017-05-08,3153.8790,3435.5648,3717.2507
2017-05-05,3148.8446,3428.8303,3708.8161
2017-05-04,3146.8124,3421.7790,3696.7456
2017-05-03,3143.4320,3415.2862,3687.1404
2017-05-02,3141.1669,3410.0672,3678.9675
2017-04-28,3137.3091,3404.6572,3672.0052
2017-04-27,3133.4990,3399.6460,3665.7930
2017-04-26,3127.9762,3394.1025,3660.2288
2017-04-25,3127.9705,3388.8360,3649.7015
2017-04-24,3132.6022,3384.1722,3635.7421
2017-04-21,3138.7127,3379.8680,3621.0234
2017-04-20,3137.1156,3377.9660,3618.8164
2017-04-19,3132.9129,3375.3243,3617.7358
2017-04-18,3127.9808,3372.8585,3617.7362
2017-04-13,3124.9733,3371.0195,3617.0657
2017-04-12,3122.3018,3368.3873,3614.4728
2017-04-11,3120.9215,3365.4788,3610.0361
2017-04-10,3119.3866,3362.3955,3605.4044
2017-04-07,3119.3645,3359.2970,3599.2295
2017-04-06,3122.1693,3356.4393,3590.7093
2017-04-05,3123.1658,3353.0582,3582.9506
2017-04-04,3124.6036,3350.3142,3576.0248
2017-04-03,3126.9987,3347.3900,3567.7813
2017-03-31,3129.3385,3344.6572,3559.9758
2017-03-30,3135.0192,3341.6612,3548.3031
2017-03-29,3139.4316,3338.9093,3538.3870
2017-03-28,3143.9039,3336.2802,3528.6564
2017-03-27,3147.9512,3333.7793,3519.6075
2017-03-24,3149.2462,3331.3357,3513.4251
2017-03-23,3150.4018,3328.4625,3506.5232
2017-03-22,3153.2183,3325.5715,3497.9247
2017-03-21,3153.9991,3323.2020,3492.4049
2017-03-20,3155.5809,3320.6078,3485.6348
2017-03-17,3158.1019,3317.8083,3477.5148
2017-03-16,3162.5289,3314.8473,3467.1657
2017-03-15,3167.3376,3312.1715,3457.0054
2017-03-14,3168.4152,3309.6470,3450.8789
2017-03-13,3169.2197,3307.3103,3445.4009
2017-03-10,3171.3485,3304.5478,3437.7471
2017-03-09,3170.5322,3301.1385,3431.7448
2017-03-08,3172.4283,3298.2522,3424.0760
2017-03-07,3168.7320,3295.0770,3421.4220
2017-03-06,3165.1203,3291.9507,3418.7811
2017-03-03,3160.8927,3288.5895,3416.2863
2017-03-02,3152.4347,3284.2370,3416.0393
2017-03-01,3135.6100,3279.5045,3423.3990
2017-02-28,3111.7213,3273.8803,3436.0394
2017-02-27,3079.6156,3268.8057,3457.9957
2017-02-24,3054.7931,3264.1670,3473.5409
2017-02-23,3035.8697,3259.9590,3484.0483
2017-02-22,3017.2557,3255.0333,3492.8109
2017-02-21,2997.2165,3249.6588,3502.1011
2017-02-20,2983.3019,3244.8097,3506.3175
2017-02-17,2968.6702,3240.2798,3511.8895
2017-02-16,2953.9354,3235.6688,3517.4022
2017-02-15,2941.6803,3231.2237,3520.7670
2017-02-14,2929.3315,3226.3780,3523.4245
2017-02-13,2916.0521,3221.5770,3527.1019
2017-02-10,2905.7850,3217.1863,3528.5876
2017-02-09,2893.9694,3213.1118,3532.2543
2017-02-08,2885.1210,3209.3107,3533.5003
